MODULE_155,CCT6A VBP1 SSR1 TNPO1 TOMM34 LRPAP1 HSPA8 DNAJC7 CCT4 BAG3 ABP1 PPIC KPNA2 FKBP1A ERP29 DNAJA1 KPNB1 HSPE1 PDIA6 PDIA5 HSPD1 KDELR2 SSR2 ATF6 KDELR1
GCM_PPM1D,LMNB1 NAA25 WBP11 RBM4B ANKRD50 CEP170 USP37 PTBP2 EXOC5 VEZF1 KAT7 KAT6B ZNF566 NUDT4 CELF1 ZHX1 ESRRG SMC3 SYNC PPM1D PPM1E TOMM70A PARP6 C11orf95 SPAST SUV420H1
GNF2_BUB1,CKS1B FOXM1 AURKB CDT1 HMMR KIF2C CDCA8 BUB1 RANBP1 ASF1B ASPM GMNN CENPE ESPL1 CDC20 SMC2 MCM4 CCNB2 NDC80 PLK1 SPAG5 RRM2 BUB1B CHAF1B MELK KIF20A
GNF2_IGF1,ADH1C MAT1A HAMP APOC4 ITIH4 HSD17B6 HRG HGFAC SLC22A1 APCS CYP2C9 CYP2C8 IGF1 IGFALS SERPING1 CYP1A2 CYP2E1 C8G ORM1 SDS F2 CYP2A6 RDH16 ORM2 SLC27A5 NNMT
GNF2_TM4SF2,SNAP91 TSPAN7 NAP1L2 CLIP3 TAGLN3 PGBD5 ATP2B2 DIRAS2 SYN1 SV2B SV2A SNAP25 RUNDC3A NMNAT2 PHYHIP GNAO1 HPCAL4 SLC12A5 CA11 STXBP1 BSN KIF3C RALYL SH3GL2 DNM1 FAIM2
GNF2_TTN,MYBPC2 TNNC2 MYBPC1 MYL1 ANKRD2 TTN MYOT TPM3 SLN ENO3 MYH1 MYH2 LDB3 MYOZ1 ACTN3 TNNI1 TNNI2 TNNT3 CKM TNNT1 NEB PYGM ATP2A1 RYR1 KBTBD10 CASQ1
MODULE_68,KRT19 NEFL INA KRT7 KRT18 KRT4 KRT15 KRT14 KRT5 DSP KRT6A KRT33B KRT32 KRT86 KRT85 KRT2 KRT35 DRD2 KRT8 KRT13 SPRR1B VIM KRT17 KRT6B KRT1 KRT16
MODULE_306,ENO2 PCK1 SDHB ALDOC ACO1 PCK2 SUCLG1 ALDOA FH IDH2 IDH1 ACO2 MDH1 LDHA IDH3B PKM2 PGAM1 PFKP TPI1 SDHD SDHA PFKM GAPDH PGK1 ENO1 IDH3G
MODULE_340,CTSK MX1 CTSA SERPINB3 ARSB CKMT1B TNF CREG1 GH2 APOA4 IGLL1 CCDC106 GCNT1 NFKB2 KCNA1 LRRC17 HAO1 SCGB2A1 PDE1A NR2C2 HIST1H3H FANCC TOE1 PCSK2 ARNTL ZNF415
MODULE_371,AOX1 HSPB2 MMP1 ADAM9 SSBP1 DUSP14 RPA1 GALNT1 GMFB MMP9 BMP1 SCG5 RPA2 HMGB1 KHDRBS1 YBX1 ARF4 ARF5 TF MMP7 MMP14 MMP2 UBA2 MMP10 MMP3 ZNF117
